cid;new_cid;channel_id;LANGUAGE;title;description;Provider_id;author;release_date;episode_count;play_count;sub_count;comment_count;categories;keywords;tags;rss_url;small_cover_url;big_cover_url
342962;0;4fc510e59a3bfcc4459bc3235a8dcad0d5170356;FR (FR);Dany Football Club;Ici, on parle de foot sous un angle sociétal avec Jean Réveillon,  JP Naugrette, Laurent Jaoui et Delphine Denuit.;Radio;Europe 1;2016-07-10 18:00:00 UTC;23;19;8;0;Sport;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/dany-football-club.xml;http://is5.mzstatic.com/image/thumb/Music60/v4/68/17/b8/6817b844-c004-ced8-e2d3-1c003618325c/source/100x100bb.jpg;http://is5.mzstatic.com/image/thumb/Music60/v4/68/17/b8/6817b844-c004-ced8-e2d3-1c003618325c/source/600x600bb.jpg
569583;0;036c355baee2e07c9c6cc226476eca7d10223127;FR (FR);Le grand destin - Franck Ferrand;Franck Ferrand nous racontent les grands destins de compositeurs, d'écrivains… Leurs parcours et leurs histoires;Radio;Europe 1;2016-10-01 12:50:00 UTC;25;18;13;0;Portraits;;;http://cdn1-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/le-grand-destin---franck-ferrand.xml;http://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/le-grand-destin-franck-ferrand/28635025-4-fre-FR/Le-grand-destin-Franck-Ferrand.jpg;http://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/le-grand-destin-franck-ferrand/28635025-4-fre-FR/Le-grand-destin-Franck-Ferrand.jpg
334745;0;a26897058f8b961f30694f66f4a9f7c8ca999624;FR (FR);Les découvertes d'Europe midi;Retrouvez la bande des chroniqueurs culturels du jour : Eva Roque pour la TV, Benjamin Josse et mercredi rime avec sorties ciné aussi par conséquent avec Bruno Cras !;Radio;Europe 1;2016-07-08 11:40:00 UTC;30;18;9;0;Reportages Culturels;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/les-decouvertes-deurope-midi.xml;http://is2.mzstatic.com/image/thumb/Music18/v4/14/6a/bf/146abfe4-d758-704f-939d-c1cd57527de4/source/100x100bb.jpg;http://is2.mzstatic.com/image/thumb/Music18/v4/14/6a/bf/146abfe4-d758-704f-939d-c1cd57527de4/source/600x600bb.jpg
399186;0;e36a1c9cfe0589a022f889b23afc832ffec7ac2d;FR (FR);Faites-le taire de Willy Rovelli et Christine Berrou;Willy Rovelli et Christine Berrou nous parlent d'actualité avec humour ;Radio;Europe 1;2017-08-25 07:56:00 UTC;30;16;4;0;Fun;;;http://cdn2-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/faites-le-taire.xml;http://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/faites-le-taire-de-willy-rovelli-et-christine-berrou/521384-5-fre-FR/Faites-le-taire-de-Willy-Rovelli-et-Christine-Berrou.jpg;http://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/faites-le-taire-de-willy-rovelli-et-christine-berrou/521384-5-fre-FR/Faites-le-taire-de-Willy-Rovelli-et-Christine-Berrou.jpg
156775;0;27843bbd26b8850fb0a50c6a4d902d9fa1f9e51c;FR (FR);Les bons plans du week-end;La France en week-end vit différemment et c’est cette différence que nous partageons avec vous chaque samedi et chaque dimanche. La rigueur de l’info avec un temps pour l’analyse politique, économique et pour des rendez-vous consacrés aux animaux, à la science et au spectacle : c’est le temps du week-end et d’un autre regard sur l’information.;Radio;Europe 1;2016-07-09 05:26:00 UTC;30;16;1;0;Reportages Actualité;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/les-bons-plans-du-week-end.xml;http://is3.mzstatic.com/image/thumb/Music62/v4/8e/8e/c7/8e8ec741-e166-c9bf-f57c-e7edfd09b594/source/100x100bb.jpg;http://is3.mzstatic.com/image/thumb/Music62/v4/8e/8e/c7/8e8ec741-e166-c9bf-f57c-e7edfd09b594/source/600x600bb.jpg
353175;0;892dd7770109948b6e73fe325db7fd67c8a4673f;FR (FR);Le vrai-faux de l'info;Le vrai-faux de l'actualité par Geraldine Woessner;Radio;Europe 1;2018-05-11 05:13:00 UTC;30;16;1;0;Reportages Actualité;News & Politics;;http://cdn-new-europe1.ladmedia.fr/var/exports/podcasts/sound/le-vrai-faux-de-l-info.xml;https://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/le-vrai-faux-de-l-info/520768-8-fre-FR/Le-vrai-faux-de-l-info.jpg;https://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/le-vrai-faux-de-l-info/520768-8-fre-FR/Le-vrai-faux-de-l-info.jpg
126670;0;afa453a679d331cf5321a8d696f7cb8ec7f44d6a;FR (FR);La revue de presse internationale;L'actualité de la presse internationnales par Wendy BOUCHARD;Radio;Europe 1;2016-04-17 04:53:00 UTC;30;15;29;0;Reportages Actualité;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/revue-de-presse-internationale.xml;http://is5.mzstatic.com/image/thumb/Music69/v4/14/35/f9/1435f98e-d955-77ec-68e8-754ea5b973b3/source/100x100bb.jpg;http://is5.mzstatic.com/image/thumb/Music69/v4/14/35/f9/1435f98e-d955-77ec-68e8-754ea5b973b3/source/600x600bb.jpg
462491;0;4d9821e250bbb7a4b61eae9b97d8de0cbdaf5064;FR (FR);Campus;Chaque dimanche, dans Campus Julia Martin propose aux auditeurs d’Europe 1 de découvrir une personnalité à travers ses amis et les tranches de vie  qu’ils ont partagées. Qui sont-ils l’un pour l’autre ?  Quelle place occupent-ils dans leur vie respective ? Que s’apportent-ils ?  Autant de questions auxquelles l’animatrice répond, entourée de son invité et de ses amis.;Radio;Europe 1;2017-08-27 12:00:00 UTC;30;15;5;0;Portraits;;;http://cdn3-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/campus.xml;http://is5.mzstatic.com/image/thumb/Music111/v4/2b/fa/39/2bfa3907-e574-5248-076f-cac249bd56e5/source/100x100bb.jpg;http://is5.mzstatic.com/image/thumb/Music111/v4/2b/fa/39/2bfa3907-e574-5248-076f-cac249bd56e5/source/600x600bb.jpg
356044;0;ec2d84da3486025e8f1cc6ab03e201551f0373eb;FR (FR);Star en vacances - Julia Martin;Chronique sur les vacances de stars par Julia Martin;Radio;Europe 1;2016-08-19 03:55:00 UTC;29;15;2;0;Reportages Actualité;;;http://cdn3-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/star-en-vacances---julia-martin.xml;http://is2.mzstatic.com/image/thumb/Music20/v4/d1/a2/7c/d1a27c49-cb55-c961-d481-f411703906f1/source/100x100bb.jpg;http://is2.mzstatic.com/image/thumb/Music20/v4/d1/a2/7c/d1a27c49-cb55-c961-d481-f411703906f1/source/600x600bb.jpg
356043;0;9aca3ab241ccb446bc0ecd1436e523b05e40ee3b;FR (FR);Europe 1 à votre service;Questions, témoignages, anecdotes et expériences viendront rythmer Europe 1 à votre service, rendez-vous placé sous le signe de la proximité et de l’écoute. ;Radio;Europe 1;2016-08-21 11:00:00 UTC;30;14;11;0;Reportages Actualité;;;http://cdn1-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/europe-1-a-votre-service.xml;http://is4.mzstatic.com/image/thumb/Music71/v4/0c/e8/8a/0ce88abe-7d58-f705-1ff9-d8eebf6dd283/source/100x100bb.jpg;http://is4.mzstatic.com/image/thumb/Music71/v4/0c/e8/8a/0ce88abe-7d58-f705-1ff9-d8eebf6dd283/source/600x600bb.jpg
